Date,T,T2,T3
2015-06-22,2.26,0.04,0.353333333
2015-06-23,-0.44,2.26,0.303333333
2015-06-24,-0.22,-0.44,0.97
2015-06-25,-0.07,-0.22,0.62
2015-06-26,-0.32,-0.07,0.533333333
2015-06-29,-2.15,-0.32,-0.243333333
2015-06-30,-1.64,-2.15,-0.203333333
2015-07-01,0.64,-1.64,-0.846666667
2015-07-02,-0.13,0.64,-1.37
2015-07-03,-0.44,-0.13,-1.05
2015-07-06,-1.54,-0.44,-0.376666667
2015-07-07,-1.94,-1.54,0.023333333
2015-07-08,0.52,-1.94,-0.703333333
2015-07-09,1.72,0.52,-1.306666667
2015-07-10,3.16,1.72,-0.986666667
2015-07-13,0.29,3.16,0.1
2015-07-14,0.58,0.29,1.8
2015-07-15,-0.13,0.58,1.723333333
2015-07-16,0.64,-0.13,1.343333333
2015-07-17,-0.43,0.64,0.246666667
2015-07-20,0.34,-0.43,0.363333333
2015-07-21,0.04,0.34,0.026666667
2015-07-22,-0.71,0.04,0.183333333
2015-07-23,0.13,-0.71,-0.016666667
2015-07-24,-0.92,0.13,-0.11
2015-07-27,-1.03,-0.92,-0.18
2015-07-28,0.82,-1.03,-0.5
2015-07-29,0.3,0.82,-0.606666667
2015-07-30,-0.19,0.3,-0.376666667
2015-07-31,0.76,-0.19,0.03
2015-08-03,0.22,0.76,0.31
2015-08-04,-0.62,0.22,0.29
2015-08-05,1.08,-0.62,0.263333333
2015-08-06,-0.4,1.08,0.12
2015-08-07,-0.5,-0.4,0.226666667
2015-08-10,1.2,-0.5,0.02
2015-08-11,-1.21,1.2,0.06
2015-08-12,-1.38,-1.21,0.1
2015-08-13,0.87,-1.38,-0.17
2015-08-14,-0.31,0.87,-0.463333333
2015-08-17,-0.21,-0.31,-0.573333333
2015-08-18,-0.26,-0.21,-0.273333333
2015-08-19,-0.92,-0.26,0.116666667
2015-08-20,-1.09,-0.92,-0.26
2015-08-21,-1.76,-1.09,-0.463333333
2015-08-24,-2.96,-1.76,-0.756666667
2015-08-25,2.63,-2.96,-1.256666667
2015-08-26,-2.46,2.63,-1.936666667
2015-08-27,2.18,-2.46,-0.696666667
2015-08-28,0.08,2.18,-0.93
2015-08-31,-0.18,0.08,0.783333333
2015-09-01,-1.86,-0.18,-0.066666667
2015-09-02,-0.15,-1.86,0.693333333
2015-09-03,1.12,-0.15,-0.653333333
2015-09-04,-2.07,1.12,-0.73
2015-09-07,0.64,-2.07,-0.296666667
2015-09-08,1.44,0.64,-0.366666667
2015-09-09,0.94,1.44,-0.103333333
2015-09-10,-0.37,0.94,0.003333333
2015-09-11,-0.24,-0.37,1.006666667
2015-09-14,-0.68,-0.24,0.67
2015-09-15,0.29,-0.68,0.11
2015-09-16,1.55,0.29,-0.43
2015-09-17,1.1,1.55,-0.21
2015-09-18,-2.54,1.1,0.386666667
2015-09-21,-0.32,-2.54,0.98
2015-09-22,-3.4,-0.32,0.036666667
2015-09-23,0.31,-3.4,-0.586666667
2015-09-24,-1.33,0.31,-2.086666667
2015-09-25,1.97,-1.33,-1.136666667
2015-09-28,-1.67,1.97,-1.473333333
2015-09-29,-0.49,-1.67,0.316666667
2015-09-30,1.63,-0.49,-0.343333333
2015-10-01,-0.27,1.63,-0.063333333
2015-10-02,0.93,-0.27,-0.176666667
2015-10-05,2.38,0.93,0.29
2015-10-06,1.35,2.38,0.763333333
2015-10-07,-0.04,1.35,1.013333333
2015-10-08,0.66,-0.04,1.553333333
2015-10-09,0.96,0.66,1.23
2015-10-12,-0.21,0.96,0.656666667
2015-10-13,-0.66,-0.21,0.526666667
2015-10-14,0.13,-0.66,0.47
2015-10-15,0.58,0.13,0.03
2015-10-16,0.21,0.58,-0.246666667
2015-10-19,-0.07,0.21,0.016666667
2015-10-20,-0.16,-0.07,0.306666667
2015-10-21,-0.06,-0.16,0.24
2015-10-22,0.1,-0.06,-0.006666667
2015-10-23,0.72,0.1,-0.096666667
2015-10-26,0.01,0.72,-0.04
2015-10-27,-1.08,0.01,0.253333333
2015-10-28,0.18,-1.08,0.276666667
2015-10-29,0.13,0.18,-0.116666667
2015-10-30,0.28,0.13,-0.296666667
2015-11-02,0.45,0.28,-0.256666667
2015-11-03,-0.1,0.45,0.196666667
2015-11-04,-0.45,-0.1,0.286666667
2015-11-05,-0.28,-0.45,0.21
2015-11-06,-0.9,-0.28,-0.033333333
2015-11-09,-0.83,-0.9,-0.276666667
2015-11-10,-0.2,-0.83,-0.543333333
2015-11-11,0.74,-0.2,-0.67
2015-11-12,-0.87,0.74,-0.643333333
2015-11-13,-1.11,-0.87,-0.096666667
2015-11-16,-0.23,-1.11,-0.11
2015-11-17,1.49,-0.23,-0.413333333
2015-11-18,0.12,1.49,-0.736666667
2015-11-19,1.01,0.12,0.05
2015-11-20,-0.7,1.01,0.46
2015-11-23,-0.37,-0.7,0.873333333
2015-11-24,-0.98,-0.37,0.143333333
2015-11-25,1.05,-0.98,-0.02
2015-11-26,0.71,1.05,-0.683333333
2015-11-27,-0.26,0.71,-0.1
2015-11-30,0.28,-0.26,0.26
2015-12-01,0.47,0.28,0.5
2015-12-02,-0.24,0.47,0.243333333
2015-12-03,0.22,-0.24,0.163333333
2015-12-04,-0.69,0.22,0.17
2015-12-07,-0.07,-0.69,0.15
2015-12-08,-1.28,-0.07,-0.236666667
2015-12-09,0.6,-1.28,-0.18
2015-12-10,-0.85,0.6,-0.68
2015-12-11,-1.43,-0.85,-0.25
2015-12-14,-1.43,-1.43,-0.51
2015-12-15,1.75,-1.43,-0.56
2015-12-16,0.34,1.75,-1.236666667
2015-12-17,0.19,0.34,-0.37
2015-12-18,-0.63,0.19,0.22
2015-12-21,-0.5,-0.63,0.76
2015-12-22,0.36,-0.5,-0.033333333
2015-12-23,1.79,0.36,-0.313333333
2015-12-24,0.48,1.79,-0.256666667
2015-12-25,-0.16,0.48,0.55
