,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
2017-02-06,-0.0034239577695906014,0.009391073156786703,-0.0013116029514410202,0.008647379084383044,-0.0034633401055074744,0.0015402439044843255,-0.0009018145875132291,0.0031375175197303038,0.0025351904754882283,-0.0010248604674633383,0.003520388093249977,0.001082830166599244,-0.0031576009523420646,-0.004314848232340822,-0.004438424472722711,-0.002422244544663825,-0.002537369308924054,-0.0066993704603105966,-0.007298963396788397,-0.005839991671460301,-0.006711692750368182,-0.004993590613834095,-0.005944958648121647,-0.013426848335690786,-0.010772935698695493
2017-02-08,0.002194598780695758,-0.005139509655007776,-0.0031749424982462043,0.0011661733984331586,0.0010865289489431027,-0.0007739456757057571,0.0035157693499245322,-0.0009546959221239496,0.008011552790851207,-0.0035563096206793084,-0.00029463073372036993,0.0015384905051534059,0.006673952908023715,0.0042462802418612375,0.0002066869942578883,-0.001195788568006746,-0.0018843959451779904,-0.0006631097232217191,-0.0035829877632046095,0.004549461488076608,-0.0004916498342984305,0.0024807309562250575,-0.0024162802305128525,0.008470279274512823,-0.007451041496647428
2017-02-10,0.004522167662762114,-0.0005453209630602165,0.002490790063438323,0.0045431500269855285,0.0034950483041400818,-0.00018868678977437977,0.0035326403953871875,0.00461444880637069,-0.0007045213588530121,9.604300370899573e-05,0.0018103851469165732,0.00033211682475175124,1.9467055901313433e-05,0.00404552553040181,0.0042111146590935915,0.00457728569450749,0.009852763593020904,0.005267619882481386,0.004140592819648064,0.01244175238462907,0.007776170422290887,0.006994087970740644,0.008944131554851938,0.008429063608985057,0.011185579373011314
2017-02-13,-0.00028930471527882125,0.005561127541220865,0.0006820662254539664,0.004893289767381048,0.00027230867003691866,0.0038275954522454794,0.005522693114703528,-0.00016187193452990088,0.0016420428574448634,0.005690082366876231,0.004839515611720468,0.006347613469206151,0.0035108652660955936,0.001694851311983882,0.0031702480625262716,0.013726096901988666,0.005737407469004192,0.006150940037501192,0.007003944682349025,0.008170310494061438,0.005283399414457619,0.0067762911040943,0.01188911221107433,0.00518727995478478,0.01783038156462367
2017-02-14,-0.001127621477655776,0.009755894060539137,0.0023249082753425635,0.0016944265679632727,0.005902885865197652,0.0007609620118617223,0.007245379697206413,0.001111031314624223,0.002682658234533493,0.007675891288645541,0.001516983479281709,-0.0036654449598890154,0.0013297620954910712,-0.0009341997938513269,-0.006881988369153944,-0.0065507009862985225,0.00019362417931939819,0.0013847993327952117,0.003620374132662467,-0.0011140115643570648,0.0013562260142539536,0.00013585025931775298,0.000248811400049711,0.0006005865841122959,-0.0009401672508556672
2017-02-15,0.001582138966519787,-0.006609196961949324,0.0009037134529542999,0.004990795793086499,-0.0019118728072580347,-0.0021188013705269503,-0.003994537077464548,0.0021308676247193017,-0.003136523647214763,0.0027008558829632267,-0.002725248786545788,-0.0008863826045766449,0.0055201306713916825,0.0022975500129063845,0.0034879297717185288,0.0026881226880016386,0.0011907192912604177,0.0036123222104600173,-0.000701156287803632,0.007264086069684502,0.0024194356965447604,0.0034557530242597797,0.002064913974733789,0.005085721033220942,0.009047981009716408
2017-02-16,0.010939804646081134,-0.0007660711691353165,0.01065528530495153,-0.0003554542766448191,-0.009143680365657474,-0.001301081360787588,-0.001537841390135192,0.0011901194934415234,-0.0019911211817818853,-0.005561980201446319,0.002506650482026048,0.0028546794002267577,-0.0012951081390389972,0.000825175713228852,-0.00291944078002385,-0.004168706687423419,0.0015673781642086626,-0.0037416459882455245,-0.001816192253257106,-0.00632569454552365,-0.0031436082333739755,0.0012101492918114342,-0.004093120922991703,-0.004366724072134051,-0.011497752363568904
2017-02-17,0.0051172222438164985,-0.005573543898976669,-0.010750417502531464,-0.0020690824855129166,0.0062368449461845735,-0.001101312168533211,-0.007192372251180378,-0.002421218990611659,-0.0028085243508669754,0.0011536607626501973,-0.00017556607929407328,0.0028361872833150294,0.0015258069862858746,0.002782294979079476,-0.003705791516883158,0.004054142398461104,0.009818713226298723,0.001980767551800984,-0.0036483848485568855,-0.002047607068397612,-0.005623617152003592,-0.004435843855099373,-0.008995167360233477,-0.006150223919021151,-0.011367432181672415
2017-02-21,0.03658140497647934,0.005214519203657668,0.003050434363172815,0.0032788338047719714,0.0016073528470328894,2.323838456063987e-05,0.00406900448264566,0.0019022805531519744,0.003733486685981009,3.6475542938806583e-05,0.0008830531321103752,0.005098387150897729,-0.0011467964481542527,0.0037790795450685193,0.0022070034139670346,0.0010000916276023779,-0.00548237416583086,0.0017684783017782098,0.005777466653474952,0.0008010974980115578,0.006166008847114778,0.0021009051707790456,0.008400951567752795,0.006129608261535398,0.002294451300102297
2017-02-22,-0.005776742820302707,-0.007579754488232657,-0.0022076398996471124,-0.0022563051190312914,0.0019412880864444922,-0.0031784544760114644,0.000748772465575172,-0.0034472428259664884,-0.0012577696667561624,0.0038840899836614052,-0.0038969655808367806,0.004216922381252926,-0.0014781896718203233,0.002476169851895727,-0.001615946242524498,-0.0016215756099722002,0.0025811161844096365,-0.0014486331190759283,-0.001110371112510051,-0.005600863826639007,-0.004108029634603754,0.0016645271078588684,-0.0039381818741677285,-0.002685974252616603,-0.004208889122486155
2017-02-23,-0.004783360640598011,-0.00487298829677558,0.00564226514720465,-0.0017961172540680295,5.690230794921698e-05,-0.00022006829495761836,0.001009916278745721,-0.0009434088084152239,-0.003673590336455239,0.0024991031196730583,-0.0019312724918846022,-0.002381192127040862,0.0005934194323307439,-0.005801283147905558,-0.0012453603678754953,-0.0016825326248553622,-0.00331622757874669,0.0010271044968373439,-0.004601047665721062,-0.008914404233973149,-0.007506239176388873,-0.003175461037494181,-0.0036544781985439973,-0.0018245683428754322,-0.01020220741789851
2017-02-24,0.045063706853746575,-0.0013562123660673911,-0.0005588913783003403,0.009574087854267707,-0.00652757286110089,-0.0011990959993397057,-0.00300006255505901,-0.0003868543753945102,-0.000427789489270018,-0.005731586156926232,-0.009336833096465916,-0.007791260014353267,-0.006523217024215762,-0.008007758420987374,-0.004774437127950385,-0.007677586222579873,-0.005317451355094816,-0.006036658120896252,-0.009561703954910196,0.00418386039738838,-0.0071554323849302645,-0.006858334267612964,-0.010114352863379146,-0.015570569520095608,-0.019761808307870228
2017-02-27,-0.013647868276621145,0.00754394360761088,-0.007674689376337036,0.0004720680649985101,0.0025596197803172465,-0.0022577994030974716,0.003203601072986477,-0.0013655508554704042,0.004746196467408488,-0.002237372542078432,0.005400823223680477,0.0029221259373087205,-0.0009303341879942441,-0.0026607153361151857,0.0011979680584826107,0.003798163298429967,0.0031452551531657357,0.0007500271825569312,0.00019884449387909633,0.002278900450401766,0.005530421460150724,0.003983626406495786,0.0019263392421211133,0.003551549221090179,0.0029632571596597706
2017-02-28,-0.008369819601763353,-0.008452059535421507,0.005929755285025374,-0.0002944056561163042,-0.0720939077666406,-0.004487194943908831,-0.0004042805157690211,0.0028303079954354895,-0.004405769518966448,0.0042391594162750025,-0.00013520741264025243,-0.0003379738881421494,-0.0023976883562610634,0.006373528808809008,0.004841082645060405,0.0065124444728142114,0.0038391446289073226,0.0027383800425423714,0.004369378247149291,0.0012262512081015252,0.0032383911468597277,0.0026889331646732175,0.006819207064684392,-0.00016490074862713776,-0.0018687780171433392
2017-03-01,-0.006679239275549455,0.0038733932679721975,0.003667536294010732,-0.0051296790045985445,0.08178475077759607,0.003939658600396279,0.005348434992571145,0.005621905431323029,0.003365191543871958,0.0030743375177270478,0.005327387599619853,0.012651226459664707,0.014172191989262034,0.010373778319546202,0.012755159430125548,-0.01773899711560483,0.0017578863665364851,0.010445019164032244,0.011442195419350688,0.0188328320656378,0.017074088421339315,0.01901523341689602,0.0165601299745059,0.01390238584798296,0.026076563170165854
2017-03-02,0.013500959010837183,0.0014556238778799186,-0.004540920817491021,-0.0012883400333360904,0.0012663651841418192,-0.0014691278464276823,0.005614564855639074,0.0058598604328919035,0.005164429808492047,0.0017404568281098314,0.0010303138329372024,-0.0008642540233869006,0.0006106576598122892,0.0018176153627948765,0.00015351871435799274,-0.004235611234853529,-0.0033959569747317917,-0.001573395284600038,0.0024410845314954935,-0.008574058494238269,0.00051189870916007,-0.00981923603559184,0.00028219328749036157,-0.0001543951006923151,-0.006520378550198146
2017-03-03,0.0015260138362919494,0.0018533711432657716,0.007472301291881155,0.006208595394773456,0.003373551586627611,0.0028166501148464865,-0.0016084432271674253,-0.0006830777796243236,0.001607825656127235,0.0032566781167653615,-0.003786448543676345,-0.002509929047674213,5.526918909114367e-05,-0.0026185244049557136,0.001808319470750041,-0.01099771549333553,-0.001477552713795877,-0.002570094934748566,-0.00471262743585397,0.003144539113864036,-0.003335196515063176,-0.0028776032398686487,-0.0024909139078868386,0.0024630143728093363,0.00383735602938404
2017-03-07,-0.009556298993999256,-0.0037163256478401387,0.0006632334906513178,-0.0019571767598076484,-0.000955810594757794,-0.0016789553598691677,0.0004134013644984084,0.004938244861152583,0.007523580980769744,-0.0008420297681895228,-0.00035175697731744344,-0.0017842134148616771,0.0018708061060472793,0.0017857971099374946,0.0002370011458906373,-0.006415875512667172,0.0020451072768876695,-0.0030019085927336354,0.003470457760428278,-0.00031613975726865013,0.0007098311481998724,-0.005021176849644789,-0.0007290910199059332,0.0029949710968870014,0.004469085711253862
2017-03-08,-0.008350677974769351,-0.003846799177135786,0.00025506013199626406,0.0011180325600716066,-0.0005147331069838894,0.0029715979005357942,0.0005071550708896226,0.004975250512459965,-0.003402680916318967,-0.0036803336294756383,-0.001088879265051378,0.0008042848087547901,0.0018149451168044588,0.003275115921071693,0.0045869958808655445,0.007753135353436793,0.0027667052953944857,0.004122718640148166,0.003327584793646403,0.0009759754663602373,0.0014682892654279125,0.0008131891517044785,0.003525142929560448,-0.004534481669735106,0.0012828804158686047
2017-03-10,0.004696456802897727,0.019033278985774376,-0.0016223720757960142,0.004372879638952615,-0.004614828775700008,-0.001212531942426892,0.0034804847364626975,-0.000939822680676691,0.0018693080739873578,0.004562513932980543,-0.001492105942749553,0.0007149000140103284,0.0010212701898636941,0.0025900345348298785,0.00448506973727858,0.006834053362686284,0.00446514254014621,0.003672088645594259,0.004517461211898313,0.011069073737945039,-0.01509927955270256,0.0035995077800913622,-0.00132214777426817,0.000679679633920896,0.009460928319807233
2017-03-13,0.006484544827794674,-0.0012053454932047436,-0.002761259737874885,0.0019351277193381683,-0.003377766448295005,-0.0002900593710404564,0.004837526958713871,0.005272864978138631,-0.0021059658630761635,0.002489036463351645,0.0011201135420440135,-0.002463071721705129,0.003250564094031155,0.004691352116624196,2.506123144044109e-05,0.012330862997908901,0.006426382593274409,0.0023514482940870016,0.002423631045876464,-0.0033318065334579663,0.0014911903893886059,0.0019008568106632527,0.01099856789489647,0.0033658967124716613,0.0019144869176715906
2017-03-14,-0.01949857924311267,0.0024686022564548754,0.0049157901134939935,-0.0013810544232586634,-0.000545159010815952,-0.0026653744025535095,-0.0013658936981248192,-0.005189798386979734,0.0042653266270469775,-0.00419079414493961,-0.0003259183352247774,-0.002999881695893007,-0.000919534868203123,-0.00011365353670602467,0.000990621585543703,-0.00938240515686841,-0.004458153290919552,-0.002432723533330083,-0.0042119099016782215,-0.004348309417682345,-0.003208008989001563,-0.005444168974578203,-0.014145875970690445,-0.009855207953390867,-0.010608195271249099
2017-03-15,0.0010694772324962676,-0.002374993407881386,-0.002000463040465497,0.00015092136683136882,0.00047218283389432883,9.172251238983319e-05,0.0015870708781662009,0.002446546323140669,-0.00661756574614359,-0.0023370067981316085,-0.0024668196198112903,0.0015085675704321474,0.00101383831821739,0.004956733408509592,0.004485214827147936,0.00497750911848283,-0.00047794357325615906,0.0007607354761494165,0.0019068969593412346,0.006255007728801536,0.0013983666408370042,0.00362360450162735,-0.004716285939021462,0.00408518408784266,0.00739939498820594
2017-03-16,-0.008449325629240835,-0.0038865587969839285,0.002775504613161134,-0.00232631045228852,0.002999618453256784,0.004920227055011194,0.002810212405909449,-0.0017548402193780929,0.0040081248795724,0.008605521078694044,0.0009165109827883677,0.005404934039941845,0.00243616561032105,-0.0018356990506956442,-0.0009034232208071083,-0.0007635219664492626,0.0030759744333134953,0.007258230476839009,0.00958845569322109,0.004326788112788766,0.004615903765780711,0.005041936882827875,0.01068987143084135,0.004805136529342332,0.002639645836346445
2017-03-17,-0.02650776064528818,-0.004125014252346448,-0.0034980081545524467,-0.0010355374237299752,-0.0007552490130742966,0.0029176631188835875,0.004092297488927621,0.00422321131284229,-0.0031695042580396062,0.005299923857192749,0.003591976812308471,0.00397438259998222,0.002410081951087132,0.004668208181773969,0.003804482136011917,-0.000862334766417072,0.003980805620589994,0.007490801702996445,0.016841828067483428,0.005982311573931667,0.0020714679661792477,0.0027368616452520195,-0.0006366632250802669,0.003955900655714737,0.0007259237958616068
2017-03-20,0.00039991438981962967,0.011041856215957038,0.0009551637779430358,0.0034826240960014734,-0.00024262244676972558,0.0026766636972474452,-0.0007174669805367589,0.0018542744571309888,-0.0004552653877898618,-0.0028351815529240867,0.002769204506573286,-0.0016338402923161553,0.00411205223852736,0.0017490828291586633,0.002037535611883514,0.009242422295948984,0.0030714127068001027,-0.0013490492172864097,-0.0010966750756534198,0.0004993553598772077,0.0017562238891826924,0.001409900493286134,0.005412347051675975,-0.0021569237759559087,-0.002460803598535062
2017-03-21,0.006073809237722541,-0.01088147042649406,-0.002967305662820132,-0.0028468530612288665,-0.002294791112935775,0.002040678082592987,0.002491322659866485,-0.0015892930617468636,-0.005011687453682258,0.002568777174407427,-0.0034373785371716783,-0.003943953853388555,-0.007746712687004071,-0.010546758165972656,-0.007539122594265957,-0.0083753346819035,-0.0063768772471173496,-0.006430736870654452,-0.019810229401079096,-0.010590279104179846,-0.00822873923560513,-0.0042778721826446315,-0.013485487302218296,-0.010213566225397038,-0.0050075334308530605
2017-03-22,0.005640231737883525,-0.0028680233289385395,-0.0003981535754100833,0.00034885792446998537,-0.001786010106910142,-0.0038139215457309084,-0.004498317015975646,3.072210480778356e-05,-0.012364486159998802,-0.011482835701690388,-0.006310058069585073,-0.004151268892916631,-0.004069804089434863,-0.007195514043835426,-0.005394004449209592,-0.0060278056178801704,-0.004598791708679136,-0.007903571157330062,-0.009667827529614707,-0.008423034855946891,-0.006466212198244361,-0.005979346303537889,-0.009926591753413292,-0.007384804668255248,-0.0074895018664947995
2017-03-23,-0.007871702775190649,0.0030417402157810686,0.0002365883448456911,-0.0007747642467664659,-0.004953135325755053,-0.0003298132306765423,-0.007162733301914873,-0.002287255235774197,0.0035381351526133672,0.004487480461002003,0.0035667944850060517,-0.0008901224508071497,0.007561357258107423,0.005891001812789376,0.0022324981614738225,0.003620633881349677,0.0051693916051908295,0.006374981902019145,0.011223720968201704,0.007210099635565562,0.010675867300669413,0.007580314412316624,0.01414485555479339,0.008676190875675048,0.0039033878197842855
2017-03-24,0.005627518656997077,0.003140003771304274,0.008705698496494555,0.005340001097112013,0.010142720498708076,-0.0022150820256694502,0.0076549994698052615,-0.0013149033683076674,0.005061140209616869,-0.0024307541366586365,0.0018613230529821256,-0.0030767204814954505,0.002698173760315193,-0.004444188061189607,0.0012710275263733463,-0.004362523705409994,0.0035395944597114747,0.0002787060589448705,0.00044466552401064625,-0.0013105130538954167,0.0025325649376375693,0.0037458994578627065,-0.0006171840506534499,0.005933825001805629,0.003549949910976905
