Date,Mkt,SMB,HML
2016-03-04,1.19,0.06,-0.02
2016-03-07,-0.15,0.27,-0.02
2016-03-08,-0.94,0.01,-0.35
2016-03-09,0.26,-0.42,-0.05
2016-03-10,0.01,0.6,0.32
2016-03-11,2.27,-1.27,1.04
2016-03-14,0.25,0.16,-0.2
2016-03-15,-0.92,0.51,-0.2
2016-03-16,1.1,0.18,0.09
2016-03-17,0.78,0.3,0.5
2016-03-18,0.07,0.31,-0.01
2016-03-21,-0.48,0.03,-0.39
2016-03-22,-0.36,0.01,-0.16
2016-03-23,-0.38,0.01,-0.76
2016-03-24,-1.25,0.95,-0.19
2016-03-25,-0.1,0.01,0
2016-03-28,0.4,0.02,-0.07
2016-03-29,1.13,-0.33,-0.65
2016-03-30,1.59,-0.32,0.27
2016-03-31,-0.5,0.86,-0.07
2016-04-01,-0.99,0.73,-0.42
2016-04-04,0.2,-0.22,-0.51
2016-04-05,-1.7,0.84,-0.72
2016-04-06,0.8,-0.36,-0.33
2016-04-07,-0.98,0.38,-0.36
2016-04-08,1.48,-0.66,1.04
2016-04-11,0.46,0.07,0.66
2016-04-12,0.38,-0.31,0.09
2016-04-13,1.12,-1.35,1.31
2016-04-14,0.27,-0.25,0.02
2016-04-15,-0.1,0.02,-0.2
2016-04-18,0.62,-0.17,-0.13
2016-04-19,1.78,-0.9,-0.14
2016-04-20,-0.2,-0.33,1.05
2016-04-21,-0.44,-0.08,0.75
2016-04-22,-0.62,0.31,0.42
2016-04-25,-0.18,0.7,-0.88
2016-04-26,0.5,-0.18,1.04
2016-04-27,0.56,-0.04,0.15
2016-04-28,0.38,0.08,0.3
2016-04-29,-0.92,1,0.15
2016-05-02,0.77,-0.18,-0.23
2016-05-03,-1.76,0.76,-0.87
2016-05-04,-1.06,0.81,-0.13
2016-05-05,-0.42,-0.1,-0.2
2016-05-06,-0.17,-0.02,0.32
2016-05-09,0.24,-0.2,-1.31
2016-05-10,0.74,-0.66,0.24
2016-05-11,-0.01,0.57,-0.14
2016-05-12,-0.7,0.47,0.02
2016-05-13,-0.26,-0.23,-0.17
2016-05-16,0.22,0.02,0.07
2016-05-17,-0.06,0.54,0.08
2016-05-18,-0.01,-0.37,-0.05
2016-05-19,-1.07,0.55,-0.01
2016-05-20,1.2,-0.51,-0.21
2016-05-23,-0.17,0.85,-0.49
2016-05-24,1.38,-1.26,0.02
2016-05-25,1.13,-0.34,0.65
2016-05-26,0.56,-0.08,0.03
2016-05-27,-0.44,0.1,-0.26
2016-05-30,0.39,-0.11,0.13
2016-05-31,-0.8,0.85,-0.35
2016-06-01,-0.25,0.25,-0.24
2016-06-02,-0.09,0.12,0.03
2016-06-03,0.96,0.48,-0.28
2016-06-06,0.38,-0.48,0.3
2016-06-07,0.97,-0.4,0.39
